"","title","author","subject","abstract","meta"
"36","Continuum limit of the discrete nonlinear Klein-Gordon equation","Quentin Chauleur (LPP, PhLAM, Paradyse)","Analysis of PDEs (math.AP)","We study the convergence of solutions of the discrete nonlinear Klein-Gordon equation on an infinite lattice in the continuum limit, using recent tools developed in the context of nonlinear discrete dispersive equations. Our approach relies in particular on the use of bilinear estimates of the Shannon interpolation alongside controls on the growth of discrete Sobolev norms of the solution. We conclude by giving perspectives on uniform dispersive estimates for nonlinear waves on lattices.","Wed, 21 Feb 2024 09:52:35 UTC (16 KB)"
"37","Covariant projective representations of Hilbert-Lie groups","Karl-Hermann Neeb, Francesco G. Russo","Mathematical Physics (math-ph)","Hilbert--Lie groups are Lie groups whose Lie algebra is a real Hilbert space whose scalar product is invariant under the adjoint action. These infinite-dimensional Lie groups are the closest relatives to compact Lie groups. Here we study unitary representations of these groups from various perspectives. First, we address norm-continuous, also called bounded, representations: they are well-known for simple groups, but the general picture is more complicated. Our first main result is a characterization of the discrete decomposability of all bounded representations in terms of boundedness of the set of coroots. We also show that bounded representations of type II and III exist if the set of coroots is unbounded. Second, we use covariance with respect to a one-parameter group of automorphisms to implement some regularity. Here we develop some perturbation theory based on half Lie groups that reduces matters to the case where a ``maximal torus'' is fixed, so that compatible weight decompositions can be studied. Third, we extend the context to projective representations which are covariant for a one-parameter group of automorphisms. Here important families of representations arise from ``bounded extremal weights'', and for these the corresponding central extensions can be determined explicitly, together with all one-parameter groups for which a covariant extension exists.","Wed, 21 Feb 2024 08:45:58 UTC (58 KB)"
"38","Approximation and estimation of scale functions for spectrally negative Levy processes","Haruka Irie, Yasutaka Shimizu","Statistics Theory (math.ST)","The scale function holds significant importance within the fluctuation theory of Levy processes, particularly in addressing exit problems. However, its definition is established through the Laplace transform, thereby lacking explicit representations in general. This paper introduces a novel series representation for this scale function, employing Laguerre polynomials to construct a uniformly convergent approximate sequence. Additionally, we derive statistical inference based on specific discrete observations, presenting estimators of scale functions that are asymptotically normal.","Wed, 21 Feb 2024 08:04:16 UTC (20 KB)"
"39","Algebraic Riccati Tensor Equations with Applications in Multilinear Control Systems","Yuchao Wang, Yimin Wei, Guofeng Zhang, Shih Yu Chang","Optimization and Control (math.OC)","In a recent interesting paper [8], Chen et al. initialized the control-theoretic study of a class of discrete-time multilinear time-invariant (MLTI) control systems, where system states, inputs and outputs are all tensors endowed with the Einstein product. Criteria for fundamental system-theoretic notions such as stability, reachability and observability are established by means of tensor decomposition. The purpose of this paper is to continue this novel research direction. Specifically, we focus on continuous-time MLTI control systems. We define Hamiltonian tensors and symplectic tensors and establish the Schur-Hamiltonian tensor decomposition and symplectic tensor singular value decomposition (SVD). Based on these we propose the algebraic Riccati tensor equation (ARTE) and show that it has a unique positive semidefinite solution if the system is stablizable and detectable. A tensor-based Newton method is proposed to find numerical solutions of the ARTE. The tensor version of the bounded real lemma is also established. A first-order robustness analysis of the ARTE is conducted. Finally, a numerical example is used to demonstrate the proposed theory and algorithms.","Wed, 21 Feb 2024 03:03:11 UTC (428 KB)"
"40","A rational logit dynamic for decision-making under uncertainty: well-posedness, vanishing-noise limit, and numerical approximation","Hidekazu Yoshioka, Motoh Tsujimura, Yumi Yoshioka","Dynamical Systems (math.DS)","The classical logit dynamic on a continuous action space for decision-making un-der uncertainty is generalized to the dynamic where the exponential function for the softmax part has been replaced by a rational one that includes the former as a special case. We call the new dynamic as the rational logit dynamic. The use of the rational logit function implies that the uncertainties have a longer tail than that assumed in the classical one. We show that the rational logit dynamic admits a unique measure-valued solution and the solution can be approximated using a fi-nite difference discretization. We also show that the vanishing-noise limit of the rational logit dynamic exists and is different from the best-response one, demon-strating that influences of the uncertainty tail persist in the rational logit dynamic. We finally apply the rational logit dynamic to a unique fishing competition data that has been recently acquired by the authors.","Wed, 21 Feb 2024 01:16:03 UTC (709 KB)"
"41","Scaling physics-informed hard constraints with mixture-of-experts","Nithin Chalapathi, Yiheng Du, Aditi Krishnapriyan","Machine Learning (cs.LG)","Imposing known physical constraints, such as conservation laws, during neural network training introduces an inductive bias that can improve accuracy, reliability, convergence, and data efficiency for modeling physical dynamics. While such constraints can be softly imposed via loss function penalties, recent advancements in differentiable physics and optimization improve performance by incorporating PDE-constrained optimization as individual layers in neural networks. This enables a stricter adherence to physical constraints. However, imposing hard constraints significantly increases computational and memory costs, especially for complex dynamical systems. This is because it requires solving an optimization problem over a large number of points in a mesh, representing spatial and temporal discretizations, which greatly increases the complexity of the constraint. To address this challenge, we develop a scalable approach to enforce hard physical constraints using Mixture-of-Experts (MoE), which can be used with any neural network architecture. Our approach imposes the constraint over smaller decomposed domains, each of which is solved by an ""expert"" through differentiable optimization. During training, each expert independently performs a localized backpropagation step by leveraging the implicit function theorem; the independence of each expert allows for parallelization across multiple GPUs. Compared to standard differentiable optimization, our scalable approach achieves greater accuracy in the neural PDE solver setting for predicting the dynamics of challenging non-linear systems. We also improve training stability and require significantly less computation time during both training and inference stages.","Tue, 20 Feb 2024 22:45:00 UTC (5,018 KB)"
"42","An efficient finite element method for computing the response of a strain-limiting elastic solid containing a v-notch and inclusions","Shylaja G., Kesavulu Naidu V., Venkatesh B., S. M. Mallikarjunaiah","Numerical Analysis (math.NA)","Accurate triangulation of the domain plays a pivotal role in computing the numerical approximation of the differential operators. A good triangulation is the one which aids in reducing discretization errors. In a standard collocation technique, the smooth curved domain is typically triangulated with a mesh by taking points on the boundary to approximate them by polygons. However, such an approach often leads to geometrical errors which directly affect the accuracy of the numerical approximation. To restrict such geometrical errors, \textit{isoparametric}, \textit{subparametric}, and \textit{iso-geometric} methods were introduced which allow the approximation of the curved surfaces (or curved line segments). In this paper, we present an efficient finite element method to approximate the solution to the elliptic boundary value problem (BVP), which governs the response of an elastic solid containing a v-notch and inclusions. The algebraically nonlinear constitutive equation along with the balance of linear momentum reduces to second-order quasi-linear elliptic partial differential equation. Our approach allows us to represent the complex curved boundaries by smooth \textit{one-of-its-kind} point transformation. The main idea is to obtain higher-order shape functions which enable us to accurately compute the entries in the finite element matrices and vectors. A Picard-type linearization is utilized to handle the nonlinearities in the governing differential equation. The numerical results for the test cases show considerable improvement in the accuracy.","Tue, 20 Feb 2024 22:34:06 UTC (842 KB)"
"43","New preconditioner strategy for solving block four-by-four linear systems: An application to the saddle-point problem from 3D Stokes equation","Achraf Badahmane, Ahmed Ratnani, Hassane Sadok","Numerical Analysis (math.NA)","We have presented a fast method for solving a specific type of block four-by-four saddlepoint problem arising from the finite element discretization of the generalized 3D Stokes problem. We analyze the eigenvalue distribution and the eigenvectors of the preconditioned matrix. Furthermore, we suggested utilizing the preconditioned global conjugate gradient method (PGCG) as a block iterative solver for handling multiple right-hand sides within the sub-system and give some new convergence results. Numerical experiments have shown that our preconditioned iterative approach is very efficient for solving the 3D Stokes problem","Tue, 20 Feb 2024 20:53:59 UTC (48 KB)"
"44","Fishing for complements","Lidia Angeleri Hügel, David Pauksztello, Jorge Vitória","Representation Theory (math.RT)","Given a presilting object in a triangulated category, we find necessary and sufficient conditions for the existence of a complement. This is done both for classic (pre)silting objects and for large (pre)silting objects. The key technique is the study of associated co-t-structures. As a consequence of our techniques we recover some known cases of the existence of complements, including for derived categories of some hereditary abelian categories and for silting-discrete algebras. Moreover, we also show that a finite-dimensional algebra is silting discrete if and only if every bounded large silting complex is equivalent to a compact one.","Tue, 20 Feb 2024 20:16:42 UTC (29 KB)"
"45","Fast Discrete-Event Simulation of Markovian Queueing Networks through Euler Approximation","L.Jeff Hong, Yingda Song, Tan Wang","Methodology (stat.ME)","The efficient management of large-scale queueing networks is critical for a variety of sectors, including healthcare, logistics, and customer service, where system performance has profound implications for operational effectiveness and cost management. To address this key challenge, our paper introduces simulation techniques tailored for complex, large-scale Markovian queueing networks. We develop two simulation schemes based on Euler approximation, namely the backward and forward schemes. These schemes can accommodate time-varying dynamics and are optimized for efficient implementation using vectorization. Assuming a feedforward queueing network structure, we establish that the two schemes provide stochastic upper and lower bounds for the system state, while the approximation error remains bounded over the simulation horizon. With the recommended choice of time step, we show that our approximation schemes exhibit diminishing asymptotic relative error as the system scales up, while maintaining much lower computational complexity compared to traditional discrete-event simulation and achieving speedups up to tens of thousands times. This study highlights the substantial potential of Euler approximation in simulating large-scale discrete systems.","Fri, 2 Feb 2024 17:24:30 UTC (671 KB)"
"46","Game theory of undirected graphical models","Irem Portakal, Javier Sendra-Arranz","Algebraic Geometry (math.AG)","We model an $n$-player game $X$ in normal form via undirected discrete graphical models where the discrete random variables represent the players and their state spaces are the set of pure strategies. There exists an edge between the vertices of the graphical model $G$ whenever there is a dependency between the associated players. We study the Spohn conditional independence (CI) variety $\mathcal{V}_{X,\mathcal{C}}$, which is the intersection of the independence model $\mathcal{M}_{\text{global}(G)}$ with the Spohn variety of the game $X$. We prove a conjecture by the first author and Sturmfels that $\mathcal{V}_{X,\mathcal{C}}$ is of codimension $n$ in $\mathcal{M}_{\mathcal{C}}$ for a generic game $X$ with binary choices. In the case where the undirected graph is a disjoint union of cliques, we analyze certain algebro-geometric features of Spohn CI varieties and prove affine universality theorems.","Tue, 20 Feb 2024 18:56:26 UTC (79 KB)"
"47","Asymptotic quantization on Riemannian manifolds via covering growth estimates","Ata Deniz Aydin, Mikaela Iacobelli","Metric Geometry (math.MG)","The quantization problem looks for best approximations of a probability measure on a given metric space by finitely many points, where the approximation error is measured with respect to the Wasserstein distance. On particular smooth domains, such as $\mathbb{R}^d$ or complete Riemannian manifolds, the quantization error is known to decay polynomially as the number of points is taken to infinity, provided the measure satisfies an integral condition which controls the amount of mass outside compact sets. On Riemannian manifolds, the existing integral condition involves a quantity measuring the growth of the exponential map, for which the only available estimates are in terms of lower bounds on sectional curvature. In this paper, we provide a more general integral condition for the asymptotics of the quantization error on Riemannian manifolds, given in terms of the growth of the covering numbers of spheres, which is purely metric in nature and concerns only the large-scale growth of the manifold. We further estimate the covering growth of manifolds in two particular cases, namely lower bounds on the Ricci curvature and geometric group actions by a discrete group of isometries. These estimates can themselves generalize beyond manifolds, and hint at a future treatment of asymptotic quantization also on non-smooth metric measure spaces.","Tue, 20 Feb 2024 17:24:24 UTC (413 KB)"
"48","Embedded minimal surfaces in $\mathbb{S}^3$ and $\mathbb{B}^3$ via equivariant eigenvalue optimization","Mikhail Karpukhin, Robert Kusner, Peter McGrath, Daniel Stern","Differential Geometry (math.DG)","In 1970, Lawson solved the topological realization problem for minimal surfaces in the sphere, showing that any closed orientable surface can be minimally embedded in $\mathbb{S}^3$. The analogous problem for surfaces with boundary was posed by Fraser and Li in 2014, and it has attracted much attention in recent years, stimulating the development of many new constructions for free boundary minimal surfaces. In this paper, we resolve this problem by showing that any compact orientable surface with boundary can be embedded in $\mathbb{B}^3$ as a free boundary minimal surface with area below $2\pi$. Furthermore, we show that the number of minimal surfaces in $\mathbb{S}^3$ of prescribed topology and area below $8\pi$, and the number of free boundary minimal surfaces in $\mathbb{B}^3$ with prescribed topology and area below $2\pi$, grow at least linearly with the genus. This is achieved via a new method for producing minimal surfaces of prescribed topology in low-dimensional balls and spheres, based on the optimization of Laplace and Steklov eigenvalues in the presence of a discrete symmetry group. As a key ingredient, we develop new techniques for proving the existence of maximizing metrics, which can be used to resolve the existence problem in many symmetric situations and provide at least partial existence results for classical eigenvalue optimization problems.","Tue, 20 Feb 2024 16:32:47 UTC (3,544 KB)"
"49","An Improved Lower Bound on the Number of Pseudoline Arrangements","Fernando Cortés Kühnast, Stefan Felsner, Manfred Scheucher","Combinatorics (math.CO)","Arrangements of pseudolines are classic objects in discrete and computational geometry. They have been studied with increasing intensity since their introduction almost 100 years ago. The study of the number $B_n$ of non-isomorphic simple arrangements of $n$ pseudolines goes back to Goodman and Pollack, Knuth, and others. It is known that $B_n$ is in the order of $2^{\Theta(n^2)}$ and finding asymptotic bounds on $b_n = \frac{\log_2(B_n)}{n^2}$ remains a challenging task. In 2011, Felsner and Valtr showed that $0.1887 \leq b_n \le 0.6571$ for sufficiently large $n$. The upper bound remains untouched but in 2020 Dumitrescu and Mandal improved the lower bound constant to $0.2083$. Their approach utilizes the known values of $B_n$ for up to $n=12$. We tackle the lower bound with a dynamic programming scheme. Our new bound is $b_n \geq 0.2526$ for sufficiently large $n$. The result is based on a delicate interplay of theoretical ideas and computer assistance.","Tue, 20 Feb 2024 16:01:41 UTC (445 KB)"
"50","Fast and memory-efficient optimization for large-scale data-driven predictive control","Philipp Schmitz, Manuel Schaller, Matthias Voigt, Karl Worthmann","Optimization and Control (math.OC)","Recently, data-enabled predictive control (DeePC) schemes based on Willems' fundamental lemma have attracted considerable attention. At the core are computations using Hankel-like matrices and their connection to the concept of persistency of excitation. We propose an iterative solver for the underlying data-driven optimal control problems resulting from linear discrete-time systems. To this end, we apply factorizations based on the discrete Fourier transform of the Hankel-like matrices, which enable fast and memory-efficient computations. To take advantage of this factorization in an optimal control solver and to reduce the effect of inherent bad conditioning of the Hankel-like matrices, we propose an augmented Lagrangian lBFGS-method. We illustrate the performance of our method by means of a numerical study.","Tue, 20 Feb 2024 15:33:48 UTC (239 KB)"
"51","Spectral collocation for functional and delay differential equations","Nicholas Hale","Numerical Analysis (math.NA)","A framework for Chebyshev spectral collocation methods for the numerical solution of functional and delay differential equations (FDEs and DDEs) is described. The framework combines interpolation via the barycentric resampling matrix with a multidomain approach used to resolve isolated discontinuities propagated by non-smooth initial data. Geometric convergence is demonstrated for several examples of linear and nonlinear FDEs and DDEs with various delay types, including discrete, proportional, continuous, and state-dependent delay. The framework is a natural extension of standard spectral collocation methods based on polynomial interpolants and can be readily incorporated into existing spectral discretisations, such as in Chebfun/Chebop, allowing the automated and efficient solution of a wide class of nonlinear functional and delay differential equations.","Tue, 20 Feb 2024 12:13:35 UTC (716 KB)"
"52","Integrating Multi-Preconditioned Conjugate Gradient with Additive Multigrid Strategy","Hardik Kothari, Maria Giuseppina Chiara Nestola, Marco Favino, Rolf Krause","Numerical Analysis (math.NA)","Due to its optimal complexity, the multigrid (MG) method is one of the most popular approaches for solving large-scale linear systems arising from the discretization of partial differential equations. However, the parallel implementation of standard MG methods, which are inherently multiplicative, suffers from increasing communication complexity. In such cases, the additive variants of MG methods provide a good alternative due to their inherently parallel nature, although they exhibit slower convergence. This work combines the additive multigrid method with the multipreconditioned conjugate gradient (MPCG) method. In the proposed approach, the MPCG method employs the corrections from the different levels of the MG hierarchy as separate preconditioned search directions. In this approach, the MPCG method updates the current iterate by using the linear combination of the preconditioned search directions, where the optimal coefficients for the linear combination are computed by exploiting the energy norm minimization of the CG method. The idea behind our approach is to combine the $A$-conjugacy of the search directions of the MPCG method and the quasi $H_1$-orthogonality of the corrections from the MG hierarchy. In the numerical section, we study the performance of the proposed method compared to the standard additive and multiplicative MG methods used as preconditioners for the CG method.","Tue, 20 Feb 2024 08:58:39 UTC (605 KB)"
"53","A sparse hierarchical $hp$-finite element method on disks and annuli","Ioannis P. A. Papadopoulos, Sheehan Olver","Numerical Analysis (math.NA)","We develop a sparse hierarchical $hp$-finite element method ($hp$-FEM) for the Helmholtz equation with rotationally invariant variable coefficients posed on a two-dimensional disk or annulus. The mesh is an inner disk cell (omitted if on an annulus domain) and concentric annuli cells. The discretization preserves the Fourier mode decoupling of rotationally invariant operators, such as the Laplacian, which manifests as block diagonal mass and stiffness matrices. Moreover, the matrices have a sparsity pattern independent of the order of the discretization and admit an optimal complexity factorization. The sparse $hp$-FEM can handle radial discontinuities in the right-hand side and in rotationally invariant Helmholtz coefficients. We consider examples such as a high-frequency Helmholtz equation with radial discontinuities, the time-dependent Schrödinger equation, and an extension to a three-dimensional cylinder domain, with a quasi-optimal solve, via the Alternating Direction Implicit (ADI) algorithm.","Tue, 20 Feb 2024 08:58:10 UTC (21,779 KB)"
"54","Joint Mean and Correlation Regression Models for Multivariate Data","Zhi Yang Tho, Francis K. C. Hui, Tao Zou","Methodology (stat.ME)","We propose a new joint mean and correlation regression model for correlated multivariate discrete responses, that simultaneously regresses the mean of each response against a set of covariates, and the correlations between responses against a set of similarity/distance measures. A set of joint estimating equations are formulated to construct an estimator of both the mean regression coefficients and the correlation regression parameters. Under a general setting where the number of responses can tend to infinity, the joint estimator is demonstrated to be consistent and asymptotically normally distributed, with differing rates of convergence due to the mean regression coefficients being heterogeneous across responses. An iterative estimation procedure is developed to obtain parameter estimates in the required, constrained parameter space. We apply the proposed model to a multivariate abundance dataset comprising overdispersed counts of 38 Carabidae ground beetle species sampled throughout Scotland, along with information about the environmental conditions of each site and the traits of each species. Results show in particular that the relationships between the mean abundances of various beetle species and environmental covariates are different and that beetle total length has statistically important effect in driving the correlations between the species. Simulations demonstrate the strong finite sample performance of the proposed estimator in terms of point estimation and inference.","Tue, 20 Feb 2024 08:21:46 UTC (123 KB)"
"55","Revisiting the Second Vassiliev (In)variant for Polymer Knots","Alexander R. Klotz, Benjamin Estabrooks","Soft Condensed Matter (cond-mat.soft)","Knots in open strands such as ropes, fibers, and polymers, cannot typically be described in the language of knot theory, which characterizes only closed curves in space. Simulations of open knotted polymer chains, often parameterized to DNA, typically perform a closure operation and calculate the Alexander polynomial to assign a knot topology. This is limited in scenarios where the topology is less well-defined, for example when the chain is in the process of untying or is strongly confined. Here, we use a discretized version of the Second Vassiliev Invariant for open chains to analyze Langevin Dynamics simulations of untying and strongly confined polymer chains. We demonstrate that the Vassiliev parameter can accurately and efficiently characterize the knotted state of polymers, providing additional information not captured by a single-closure Alexander calculation. We discuss its relative strengths and weaknesses compared to standard techniques, and argue that it is a useful and powerful tool for analyzing polymer knot simulations.","Tue, 20 Feb 2024 07:28:12 UTC (1,430 KB)"
"56","Null controllability for stochastic semi-discrete parabolic equations","Qingmei Zhao","Optimization and Control (math.OC)","In this paper, we present a null controllability result for a class of stochastic semi-discrete parabolic equations. For this purpose, an observability estimate is established for backward stochastic semi-discrete parabolic equations, with an explicit observability constant that depends on the discretization parameter. This estimate is obtained by a new Carleman estimate for backward stochastic semi-discrete parabolic operators.","Tue, 20 Feb 2024 01:52:55 UTC (17 KB)"
"57","On The Fourier Coefficients of High-Dimensional Random Geometric Graphs","Kiril Bangachev, Guy Bresler","Statistics Theory (math.ST)","The random geometric graph $\mathsf{RGG}(n,\mathbb{S}^{d-1}, p)$ is formed by sampling $n$ i.i.d. vectors $\{V_i\}_{i = 1}^n$ uniformly on $\mathbb{S}^{d-1}$ and placing an edge between pairs of vertices $i$ and $j$ for which $\langle V_i,V_j\rangle \ge \tau^p_d,$ where $\tau^p_d$ is such that the expected density is $p.$ We study the low-degree Fourier coefficients of the distribution $\mathsf{RGG}(n,\mathbb{S}^{d-1}, p)$ and its Gaussian analogue. Our main conceptual contribution is a novel two-step strategy for bounding Fourier coefficients which we believe is more widely applicable to studying latent space distributions. First, we localize the dependence among edges to few fragile edges. Second, we partition the space of latent vector configurations $(\mathsf{RGG}(n,\mathbb{S}^{d-1}, p))^{\otimes n}$ based on the set of fragile edges and on each subset of configurations, we define a noise operator acting independently on edges not incident (in an appropriate sense) to fragile edges. We apply the resulting bounds to: 1) Settle the low-degree polynomial complexity of distinguishing spherical and Gaussian random geometric graphs from Erdos-Renyi both in the case of observing a complete set of edges and in the non-adaptively chosen mask $\mathcal{M}$ model recently introduced by [MVW24]; 2) Exhibit a statistical-computational gap for distinguishing $\mathsf{RGG}$ and the planted coloring model [KVWX23] in a regime when $\mathsf{RGG}$ is distinguishable from Erdos-Renyi; 3) Reprove known bounds on the second eigenvalue of random geometric graphs.","Mon, 19 Feb 2024 22:55:56 UTC (586 KB)"
"58","Coloring problems on arrangements of pseudolines","Sandro Roch","Combinatorics (math.CO)","Arrangements of pseudolines are a widely studied generalization of line arrangements. They are defined as a finite family of infinite curves in the Euclidean plane, any two of which intersect at exactly one point. One can state various related coloring problems depending on the number $n$ of pseudolines. In this article, we show that $n$ colors are sufficient for coloring the crossings avoiding twice the same color on the boundary of any cell, or, alternatively, avoiding twice the same color along any pseudoline. We also study the problem of coloring the pseudolines avoiding monochromatic crossings.","Mon, 19 Feb 2024 21:42:25 UTC (243 KB)"
"59","Lettericity of graphs: an FPT algorithm and a bound on the size of obstructions","Bogdan Alecu, Mamadou Moustapha Kanté, Vadim Lozin, Viktor Zamaraev","Combinatorics (math.CO)","Lettericity is a graph parameter responsible for many attractive structural properties. In particular, graphs of bounded lettericity have bounded linear clique-width and they are well-quasi-ordered by induced subgraphs. The latter property implies that any hereditary class of graphs of bounded lettericity can be described by finitely many forbidden induced subgraphs. This, in turn, implies, in a non-constructive way, polynomial-time recognition of such classes. However, no constructive algorithms and no specific bounds on the size of forbidden graphs are available up to date. In the present paper, we develop an algorithm that recognizes $n$-vertex graphs of lettericity at most $k$ in time $f(k)n^3$ and show that any minimal graph of lettericity more than $k$ has at most $2^{O(k^2\log k)}$ vertices.","Mon, 19 Feb 2024 21:33:01 UTC (27 KB)"
"60","Euler-Maruyama schemes for stochastic differential equations driven by stable Lévy processes with i.i.d. stable components","Thanh Dang, Lingjiong Zhu","Probability (math.PR)","We study Euler-Maruyama numerical schemes of stochastic differential equations driven by stable Lévy processes with i.i.d. stable components. We obtain a uniform-in-time approximation error in Wasserstein distance. Our approximation error has a linear dependence on the stepsize, which is expected to be tight, as can be seen from an explicit calculation for the case of an Ornstein-Uhlenbeck process. We also obtain a uniform-in-time approximation error when Pareto noises are used in the discretization scheme.","Mon, 19 Feb 2024 20:09:42 UTC (54 KB)"
"61","Almost-linear time parameterized algorithm for rankwidth via dynamic rankwidth","Tuukka Korhonen, Marek Sokołowski","Data Structures and Algorithms (cs.DS)","We give an algorithm that given a graph $G$ with $n$ vertices and $m$ edges and an integer $k$, in time $O_k(n^{1+o(1)}) + O(m)$ either outputs a rank decomposition of $G$ of width at most $k$ or determines that the rankwidth of $G$ is larger than $k$; the $O_k(\cdot)$-notation hides factors depending on $k$. Our algorithm returns also a $(2^{k+1}-1)$-expression for cliquewidth, yielding a $(2^{k+1}-1)$-approximation algorithm for cliquewidth with the same running time. This improves upon the $O_k(n^2)$ time algorithm of Fomin and Korhonen [STOC 2022]. The main ingredient of our algorithm is a fully dynamic algorithm for maintaining rank decompositions of bounded width: We give a data structure that for a dynamic $n$-vertex graph $G$ that is updated by edge insertions and deletions maintains a rank decomposition of $G$ of width at most $4k$ under the promise that the rankwidth of $G$ never grows above $k$. The amortized running time of each update is $O_k(2^{\sqrt{\log n} \log \log n})$. The data structure furthermore can maintain whether $G$ satisfies some fixed ${\sf CMSO}_1$ property within the same running time. We also give a framework for performing ``dense'' edge updates inside a given set of vertices $X$, where the new edges inside $X$ are described by a given ${\sf CMSO}_1$ sentence and vertex labels, in amortized $O_k(|X| \cdot 2^{\sqrt{\log n} \log \log n})$ time. Our dynamic algorithm generalizes the dynamic treewidth algorithm of Korhonen, Majewski, Nadara, Pilipczuk, and Sokołowski [FOCS 2023].","Mon, 19 Feb 2024 18:50:53 UTC (489 KB)"
"62","Nonlinear Discrete-Time Observers with Physics-Informed Neural Networks","Hector Vargas Alvarez, Gianluca Fabiani, Ioannis G. Kevrekidis, Nikolaos Kazantzis, Constantinos Siettos","Numerical Analysis (math.NA)","We use Physics-Informed Neural Networks (PINNs) to solve the discrete-time nonlinear observer state estimation problem. Integrated within a single-step exact observer linearization framework, the proposed PINN approach aims at learning a nonlinear state transformation map by solving a system of inhomogeneous functional equations. The performance of the proposed PINN approach is assessed via two illustrative case studies for which the observer linearizing transformation map can be derived analytically. We also perform an uncertainty quantification analysis for the proposed PINN scheme and we compare it with conventional power-series numerical implementations, which rely on the computation of a power series solution.","Mon, 19 Feb 2024 18:47:56 UTC (1,016 KB)"
"63","Lyapunov Densities For Markov Processes: An Application To Quantum Systems With Non-Demolition Measurements","Özkan Karabacak, Horia Cornean, Rafael Wisniewski","Dynamical Systems (math.DS)","Stochastic convergence of discrete time Markov processes has been analysed based on a dual Lyapunov approach. Using some existing results on ergodic theory of Markov processes, it has been shown that existence of a properly subinvariant function (counterpart of the Lyapunov density in deterministic systems) implies sweeping of a Markov process out of the sets where this function is integrable. Such a function can be used as a certificate of convergence in probability of a stochastic system. We apply this technique to Markov processes induced by a quantum system with non-demolition measurement and propose dual Lyapunov certificates to certify sweeping.","Mon, 19 Feb 2024 16:14:35 UTC (61 KB)"
"64","Second-order flows for approaching stationary points of a class of non-convex energies via convex-splitting schemes","Haifan Chen, Guozhi Dong, José A. Iglesias, Wei Liu, Ziqing Xie","Numerical Analysis (math.NA)","The use of accelerated gradient flows is an emerging field in optimization, scientific computing and beyond. This paper contributes to the theoretical underpinnings of a recently-introduced computational paradigm known as second-order flows, which demonstrate significant performance particularly for the minimization of non-convex energy functionals defined on Sobolev spaces, and are characterized by novel dissipative hyperbolic partial differential equations. Our approach hinges upon convex-splitting schemes, a tool which is not only pivotal for clarifying the well-posedness of second-order flows, but also yields a versatile array of robust numerical schemes through temporal and spatial discretization. We prove the convergence to stationary points of such schemes in the semi-discrete setting. Further, we establish their convergence to time-continuous solutions as the time-step tends to zero, and perform a comprehensive error analysis in the fully discrete case. Finally, these algorithms undergo thorough testing and validation in approaching stationary points of non-convex variational models in applied sciences, such as the Ginzburg-Landau energy in phase-field modeling and a specific case of the Landau-de Gennes energy of the Q-tensor model for liquid crystals.","Mon, 19 Feb 2024 14:26:58 UTC (3,189 KB)"
"65","Accelerated gradient flows for large bending deformations of nonlinear plates","Guozhi Dong, Hailong Guo, Shuo Yang","Numerical Analysis (math.NA)","In this paper, we propose and analyze a series of novel algorithms based on projection-free accelerated gradient flows to minimize bending energies for nonlinear plates with non-convex metric constraints. We discuss the stability and constraint consistency in a semi-discrete setting for both bilayer and prestrained plates. Our proposed algorithms demonstrate substantial improvements, in both efficiency and accuracy, over current state-of-the-art methods based on gradient flows.","Mon, 19 Feb 2024 14:02:37 UTC (5,629 KB)"
"66","Discrete Morse theory for open complexes","Kevin P. Knudson, Nicholas A. Scoville","Algebraic Topology (math.AT)","We develop a discrete Morse theory for open simplicial complexes $K=X\setminus T$ where $X$ is a simplicial complex and $T$ a subcomplex of $X$. A discrete Morse function $f$ on $K$ gives rise to a discrete Morse function on the order complex $S_K$ of $K$, and the topology change determined by $f$ on $K$ can be understood by analyzing the the topology change determined by the discrete Morse function on $S_K$. This topology change is given by a structure theorem on the level subcomplexes of $S_K$. Finally, we show that the Borel-Moore homology of $K$, a homology theory for locally compact spaces, is isomorphic to the homology induced by a gradient vector field on $K$ and deduce corresponding weak Morse inequalities.","Mon, 19 Feb 2024 13:11:10 UTC (23 KB)"
"67","Asymptotic behavior for twisted traces of self-dual and conjugate self-dual representations of $\mathrm{GL}_n$","Yugo Takanashi, Satoshi Wakatsuki","Number Theory (math.NT)","In this paper, we study the asymptotic behavior of the sum of twisted traces of self-dual or conjugate self-dual discrete automorphic representations of $\mathrm{GL}_n$ for the level aspect of principal congruence subgroups under some conditions. Our asymptotic formula is derived from the Arthur twisted trace formula, and it is regarded as a twisted version of limit multiplicity formula on Lie groups. We determine the main terms for the asymptotic behavior under different conditions, and also obtain explicit forms of their Fourier transforms, which correspond to endoscopic lifts from classical groups. Its main application is the self-dual (resp. conjugate self-dual) globalization of local self-dual (resp. conjugate self-dual) representations of $\mathrm{GL}_n$. We further derive an automorphic density theorem for conjugate self-dual representations of $\mathrm{GL}_n$.","Mon, 19 Feb 2024 08:34:24 UTC (72 KB)"
